Year	Month	Day	Hour	Min	Sec	s1	s2	s3
2001	10	1	0	0	0	0	0	0
2001	10	2	0	0	0	0	0	0
2001	10	3	0	0	0	0	0	0
2001	10	4	0	0	0	0	0	0
2001	10	5	0	0	0	0	0	0
2001	10	6	0	0	0	0	0	7.62
2001	10	7	0	0	0	0	1.524	2.54
2001	10	8	0	0	0	0.762	0.762	0
2001	10	9	0	0	0	0.762	0.508	0
2001	10	10	0	0	0	4.826	4.064	0
2001	10	11	0	0	0	1.778	0	0
2001	10	12	0	0	0	2.032	6.858	15.24
2001	10	13	0	0	0	0.762	1.016	2.54
2001	10	14	0	0	0	1.778	1.524	10.16
2001	10	15	0	0	0	0	0	0
2001	10	16	0	0	0	0.508	0	2.54
2001	10	17	0	0	0	0	0	7.62
2001	10	18	0	0	0	0	2.286	0
2001	10	19	0	0	0	0.762	0	10.16
2001	10	20	0	0	0	1.27	5.334	0
2001	10	21	0	0	0	4.318	1.524	2.54
2001	10	22	0	0	0	7.62	4.318	12.7
2001	10	23	0	0	0	0	0	25.4
2001	10	24	0	0	0	2.54	0.762	5.08
2001	10	25	0	0	0	0	1.016	5.08
2001	10	26	0	0	0	0	0	0
2001	10	27	0	0	0	0	3.556	10.16
2001	10	28	0	0	0	0.254	0	10.16
2001	10	29	0	0	0	2.794	4.318	0
2001	10	30	0	0	0	0	15.24	2.54
2001	10	31	0	0	0	5.08	3.048	12.7
2001	11	1	0	0	0	0	0	2.54
2001	11	2	0	0	0	0.762	0	2.54
2001	11	3	0	0	0	0	0	0
2001	11	4	0	0	0	0	1.27	0
2001	11	5	0	0	0	0	0	0
2001	11	6	0	0	0	0.254	0	0
2001	11	7	0	0	0	0	0	0
2001	11	8	0	0	0	0	0	2.54
2001	11	9	0	0	0	0	0	0
2001	11	10	0	0	0	0	0	0
2001	11	11	0	0	0	0	0	0
2001	11	12	0	0	0	0	0	0
2001	11	13	0	0	0	0	3.302	0
2001	11	14	0	0	0	0.762	1.778	2.54
2001	11	15	0	0	0	0	2.032	0
2001	11	16	0	0	0	1.016	17.78	0
2001	11	17	0	0	0	0.762	1.524	2.54
2001	11	18	0	0	0	0	0	0
2001	11	19	0	0	0	0	0.762	0
2001	11	20	0	0	0	0	3.048	0
2001	11	21	0	0	0	0.508	3.556	0
2001	11	22	0	0	0	4.572	7.366	2.54
2001	11	23	0	0	0	5.08	0.254	2.54
2001	11	24	0	0	0	0	0	0
2001	11	25	0	0	0	0.762	6.858	7.62
2001	11	26	0	0	0	0	0	2.54
2001	11	27	0	0	0	0	6.858	0
2001	11	28	0	0	0	5.842	7.112	2.54
2001	11	29	0	0	0	0.762	1.524	2.54
2001	11	30	0	0	0	0	3.556	2.54
2001	12	1	0	0	0	1.016	2.54	15.24
2001	12	2	0	0	0	3.048	3.302	5.08
2001	12	3	0	0	0	0.254	0.762	15.24
2001	12	4	0	0	0	0	1.778	2.54
2001	12	5	0	0	0	1.27	6.35	2.54
2001	12	6	0	0	0	1.27	0	15.24
2001	12	7	0	0	0	0	0	5.08
2001	12	8	0	0	0	0	0	2.54
2001	12	9	0	0	0	0	0	5.08
2001	12	10	0	0	0	0	1.27	0
2001	12	11	0	0	0	0.762	1.016	0
2001	12	12	0	0	0	1.27	3.556	5.08
2001	12	13	0	0	0	2.286	16.51	15.24
2001	12	14	0	0	0	0	0	2.54
2001	12	15	0	0	0	0	0.508	0
2001	12	16	0	0	0	0.254	6.096	10.16
2001	12	17	0	0	0	0	0	0
2001	12	18	0	0	0	1.016	2.794	2.54
2001	12	19	0	0	0	1.524	0	7.62
2001	12	20	0	0	0	1.778	0.762	2.54
2001	12	21	0	0	0	0.762	0.762	0
2001	12	22	0	0	0	0	0	0
2001	12	23	0	0	0	0	0	0
2001	12	24	0	0	0	0	0	0
2001	12	25	0	0	0	0	0	0
2001	12	26	0	0	0	0.762	0	0
2001	12	27	0	0	0	0	2.032	0
2001	12	28	0	0	0	1.524	2.54	0
2001	12	29	0	0	0	0	0	0
2001	12	30	0	0	0	0	0	0
2001	12	31	0	0	0	0	0	0
2002	1	1	0	0	0	0.508	3.556	2.54
2002	1	2	0	0	0	0.508	0.762	2.54
2002	1	3	0	0	0	0	0.762	0
2002	1	4	0	0	0	0.254	0	0
2002	1	5	0	0	0	1.27	0.254	0
2002	1	6	0	0	0	0	5.842	17.78
2002	1	7	0	0	0	1.524	7.366	10.16
2002	1	8	0	0	0	0	0	22.86
2002	1	9	0	0	0	0.762	0	15.24
2002	1	10	0	0	0	0	0	0
2002	1	11	0	0	0	1.27	1.016	0
2002	1	12	0	0	0	0	0.254	10.16
2002	1	13	0	0	0	0	0	0
2002	1	14	0	0	0	0	0	0
2002	1	15	0	0	0	0	1.016	0
2002	1	16	0	0	0	1.27	0.762	0
2002	1	17	0	0	0	0.508	0.762	0
2002	1	18	0	0	0	1.27	2.286	0
2002	1	19	0	0	0	0.254	2.032	10.16
2002	1	20	0	0	0	3.048	0	22.86
2002	1	21	0	0	0	0	0	5.08
2002	1	22	0	0	0	0.762	0.254	2.54
2002	1	23	0	0	0	0.254	0.254	10.16
2002	1	24	0	0	0	0	1.778	25.4
2002	1	25	0	0	0	1.524	0	48.26
2002	1	26	0	0	0	0.254	0.762	7.62
2002	1	27	0	0	0	0.254	0.762	5.08
2002	1	28	0	0	0	0	0	0
2002	1	29	0	0	0	0.762	1.016	7.62
2002	1	30	0	0	0	2.286	0.762	0
2002	1	31	0	0	0	0.254	1.524	7.62
2002	2	1	0	0	0	0	0	10.16
2002	2	2	0	0	0	0	4.572	2.54
2002	2	3	0	0	0	0	0.254	5.08
2002	2	4	0	0	0	0	0	2.54
2002	2	5	0	0	0	0	0	2.54
2002	2	6	0	0	0	0	4.318	7.62
2002	2	7	0	0	0	4.826	6.096	20.32
2002	2	8	0	0	0	2.032	0.254	10.16
2002	2	9	0	0	0	0	0	2.54
2002	2	10	0	0	0	0.762	0	2.54
2002	2	11	0	0	0	0	0	10.16
2002	2	12	0	0	0	0	0	0
2002	2	13	0	0	0	0	0	5.08
2002	2	14	0	0	0	0	0	0
2002	2	15	0	0	0	0	0	2.54
2002	2	16	0	0	0	0	0	0
2002	2	17	0	0	0	0.762	0.508	0
2002	2	18	0	0	0	0	0.254	5.08
2002	2	19	0	0	0	0.762	3.81	5.08
2002	2	20	0	0	0	1.778	0	0
