Year	Month	Day	Hour	Min	Sec	ALF
2001	10	1	0	0	0	0.13607
2001	10	2	0	0	0	0.13791
2001	10	3	0	0	0	0.13795
2001	10	4	0	0	0	0.13404
2001	10	5	0	0	0	0.1383
2001	10	6	0	0	0	0.15102
2001	10	7	0	0	0	0.1429
2001	10	8	0	0	0	0.14864
2001	10	9	0	0	0	0.15239
2001	10	10	0	0	0	0.15165
2001	10	11	0	0	0	0.16336
2001	10	12	0	0	0	0.16949
2001	10	13	0	0	0	0.17128
2001	10	14	0	0	0	0.17714
2001	10	15	0	0	0	0.20758
2001	10	16	0	0	0	0.22359
2001	10	17	0	0	0	0.2255
2001	10	18	0	0	0	0.21785
2001	10	19	0	0	0	0.22882
2001	10	20	0	0	0	0.25817
2001	10	21	0	0	0	0.26321
2001	10	22	0	0	0	0.2668
2001	10	23	0	0	0	0.2732
2001	10	24	0	0	0	0.28401
2001	10	25	0	0	0	0.29186
2001	10	26	0	0	0	0.29311
2001	10	27	0	0	0	0.30657
2001	10	28	0	0	0	0.29951
2001	10	29	0	0	0	0.29486
2001	10	30	0	0	0	0.30989
2001	10	31	0	0	0	0.36071
2001	11	1	0	0	0	0.35096
2001	11	2	0	0	0	0.38609
2001	11	3	0	0	0	0.41735
2001	11	4	0	0	0	0.39764
2001	11	5	0	0	0	0.38331
2001	11	6	0	0	0	0.39733
2001	11	7	0	0	0	0.35181
2001	11	8	0	0	0	0.34233
2001	11	9	0	0	0	0.34026
2001	11	10	0	0	0	0.32437
2001	11	11	0	0	0	0.3079
2001	11	12	0	0	0	0.29584
2001	11	13	0	0	0	0.30685
2001	11	14	0	0	0	0.36489
2001	11	15	0	0	0	0.33483
2001	11	16	0	0	0	0.39011
2001	11	17	0	0	0	0.3857
2001	11	18	0	0	0	0.33745
2001	11	19	0	0	0	0.33089
2001	11	20	0	0	0	0.38835
2001	11	21	0	0	0	0.33706
2001	11	22	0	0	0	0.38179
2001	11	23	0	0	0	0.37699
2001	11	24	0	0	0	0.36957
2001	11	25	0	0	0	0.37082
2001	11	26	0	0	0	0.3458
2001	11	27	0	0	0	0.35677
2001	11	28	0	0	0	0.34092
2001	11	29	0	0	0	0.34869
2001	11	30	0	0	0	0.33788
2001	12	1	0	0	0	0.4193
2001	12	2	0	0	0	0.39893
2001	12	3	0	0	0	0.41677
2001	12	4	0	0	0	0.39268
2001	12	5	0	0	0	0.36399
2001	12	6	0	0	0	0.36583
2001	12	7	0	0	0	0.35568
2001	12	8	0	0	0	0.34252
2001	12	9	0	0	0	0.34479
2001	12	10	0	0	0	0.32953
2001	12	11	0	0	0	0.32508
2001	12	12	0	0	0	0.31719
2001	12	13	0	0	0	0.35993
2001	12	14	0	0	0	0.37235
2001	12	15	0	0	0	0.34088
2001	12	16	0	0	0	0.39986
2001	12	17	0	0	0	0.39584
2001	12	18	0	0	0	0.35806
2001	12	19	0	0	0	0.34479
2001	12	20	0	0	0	0.31906
2001	12	21	0	0	0	0.31024
2001	12	22	0	0	0	0.30361
2001	12	23	0	0	0	0.29229
2001	12	24	0	0	0	0.31145
2001	12	25	0	0	0	0.27999
2001	12	26	0	0	0	0.25692
2001	12	27	0	0	0	0.24591
2001	12	28	0	0	0	0.2417
2001	12	29	0	0	0	0.22581
2001	12	30	0	0	0	0.23936
2001	12	31	0	0	0	0.22191
2002	1	1	0	0	0	0.28725
2002	1	2	0	0	0	0.30486
2002	1	3	0	0	0	0.30329
2002	1	4	0	0	0	0.31379
2002	1	5	0	0	0	0.29838
2002	1	6	0	0	0	0.30517
2002	1	7	0	0	0	0.36665
2002	1	8	0	0	0	0.58594
2002	1	9	0	0	0	0.62615
2002	1	10	0	0	0	0.6548
2002	1	11	0	0	0	0.64289
2002	1	12	0	0	0	0.62009
2002	1	13	0	0	0	0.64867
2002	1	14	0	0	0	0.63013
2002	1	15	0	0	0	0.57318
2002	1	16	0	0	0	0.55862
2002	1	17	0	0	0	0.51728
2002	1	18	0	0	0	0.50034
2002	1	19	0	0	0	0.50065
2002	1	20	0	0	0	0.48617
2002	1	21	0	0	0	0.49292
2002	1	22	0	0	0	0.47028
2002	1	23	0	0	0	0.4718
2002	1	24	0	0	0	0.46322
2002	1	25	0	0	0	0.4996
2002	1	26	0	0	0	0.56072
2002	1	27	0	0	0	0.55795
2002	1	28	0	0	0	0.52263
2002	1	29	0	0	0	0.49136
2002	1	30	0	0	0	0.49421
2002	1	31	0	0	0	0.49206
2002	2	1	0	0	0	0.37016
2002	2	2	0	0	0	0.37703
2002	2	3	0	0	0	0.3821
2002	2	4	0	0	0	0.38597
2002	2	5	0	0	0	0.36938
2002	2	6	0	0	0	0.36587
2002	2	7	0	0	0	0.39054
2002	2	8	0	0	0	0.38753
2002	2	9	0	0	0	0.36126
2002	2	10	0	0	0	0.3766
2002	2	11	0	0	0	0.36243
2002	2	12	0	0	0	0.34498
2002	2	13	0	0	0	0.33401
2002	2	14	0	0	0	0.3266
2002	2	15	0	0	0	0.32035
2002	2	16	0	0	0	0.31684
2002	2	17	0	0	0	0.31778
2002	2	18	0	0	0	0.32195
2002	2	19	0	0	0	0.33343
2002	2	20	0	0	0	0.35033
2002	2	21	0	0	0	0.35025
2002	2	22	0	0	0	0.43055
2002	2	23	0	0	0	0.57969
2002	2	24	0	0	0	0.55218
2002	2	25	0	0	0	0.55655
2002	2	26	0	0	0	0.55959
2002	2	27	0	0	0	0.5325
2002	2	28	0	0	0	0.51755
2002	3	1	0	0	0	0.50342
2002	3	2	0	0	0	0.47754
2002	3	3	0	0	0	0.46794
2002	3	4	0	0	0	0.47274
2002	3	5	0	0	0	0.47899
