Year	Month	Day	Hour	Min	Sec	s1	s2	s3	s4
2001	10	1	0	0	0	13.3	9.6	8.1	19.8
2001	10	2	0	0	0	15.7	14	8.6	19.5
2001	10	3	0	0	0	12.7	8.6	6	20.6
2001	10	4	0	0	0	9.6	9.2	2.2	20.6
2001	10	5	0	0	0	4.1	2.3	-0.7	18.3
2001	10	6	0	0	0	4.9	2.6	2.4	16.8
2001	10	7	0	0	0	10.6	8.3	2.9	16.4
2001	10	8	0	0	0	10.9	8.8	2	17.8
2001	10	9	0	0	0	6.2	5.8	1.4	17.7
2001	10	10	0	0	0	6.2	6.9	-1.1	17.4
2001	10	11	0	0	0	8.3	7.4	2.2	16.4
2001	10	12	0	0	0	3.4	4.3	-1.3	19
2001	10	13	0	0	0	6.1	5.9	1.1	19.7
2001	10	14	0	0	0	6.6	6.1	-0.8	14.9
2001	10	15	0	0	0	5.4	2.6	-2.6	14
2001	10	16	0	0	0	4.2	2.9	0.6	17
2001	10	17	0	0	0	7.6	8	2.5	16.6
2001	10	18	0	0	0	3.3	1.4	-2.8	13.8
2001	10	19	0	0	0	4.5	5.7	0.4	15.3
2001	10	20	0	0	0	5.8	5.3	1.3	15.9
2001	10	21	0	0	0	3.6	3	0.4	15.5
2001	10	22	0	0	0	6.3	6.7	1	17.3
2001	10	23	0	0	0	5.7	5.2	0	17.6
2001	10	24	0	0	0	4	3.9	-1.8	20.9
2001	10	25	0	0	0	2.4	2.4	-1.2	19.4
2001	10	26	0	0	0	2.4	2.7	0.8	15.4
2001	10	27	0	0	0	4	0.7	2.6	16.9
2001	10	28	0	0	0	8.8	7.1	0.8	18.8
2001	10	29	0	0	0	6.3	3.8	-5.1	18.4
2001	10	30	0	0	0	7.8	6.8	1.1	15.6
2001	10	31	0	0	0	8.9	8.1	2.7	13.4
2001	11	1	0	0	0	6.1	4.1	-1	14.3
2001	11	2	0	0	0	6.1	6.3	0.5	16.4
2001	11	3	0	0	0	4.7	5.9	1.5	15.4
2001	11	4	0	0	0	1.7	2.6	2	9.8
2001	11	5	0	0	0	1.6	2.4	2.4	9.6
2001	11	6	0	0	0	4.2	0.3	-1.9	12.8
2001	11	7	0	0	0	3.2	0.5	-3.9	12
2001	11	8	0	0	0	-1.4	-2.6	-4.2	10.9
2001	11	9	0	0	0	-0.8	-1.1	-2.2	14.4
2001	11	10	0	0	0	-0.9	-2.4	-4.2	6.6
2001	11	11	0	0	0	-0.4	-1.8	-2.4	4.8
2001	11	12	0	0	0	1.3	-1	-1.1	2.6
2001	11	13	0	0	0	1.6	-1.4	0.2	6.8
2001	11	14	0	0	0	4.9	5.6	3.6	10
2001	11	15	0	0	0	3.2	7.9	5.2	11.3
2001	11	16	0	0	0	3.4	6.4	5.3	11
2001	11	17	0	0	0	4.4	6.7	3.3	7.6
2001	11	18	0	0	0	4.9	3.9	-0.6	4.6
2001	11	19	0	0	0	0.1	-1.1	-1.2	4.6
2001	11	20	0	0	0	3.2	2.1	0	5
2001	11	21	0	0	0	5.2	3.8	0.6	5.8
2001	11	22	0	0	0	2.3	2.6	-0.7	8.3
2001	11	23	0	0	0	3.6	3.4	-1.1	11.9
2001	11	24	0	0	0	1.3	2.3	-1.9	14.8
2001	11	25	0	0	0	1.8	0.7	-6.5	13.4
2001	11	26	0	0	0	-0.8	-2.1	-7.4	12
2001	11	27	0	0	0	-1.8	-3.2	-6.4	11.6
2001	11	28	0	0	0	-6.4	-3.5	-6.3	10.5
2001	11	29	0	0	0	-0.3	-1.6	-3.3	14.3
2001	11	30	0	0	0	0.2	0.4	-4.1	15.2
2001	12	1	0	0	0	1.6	0.3	-4.3	12.9
2001	12	2	0	0	0	3.2	3.2	-2.2	10.4
2001	12	3	0	0	0	1.3	1.2	-3.9	10.9
2001	12	4	0	0	0	-1.4	-1.6	-6.4	8.3
2001	12	5	0	0	0	-1.9	-2.8	-8	14.2
2001	12	6	0	0	0	-2	-2.8	-6.6	6.7
2001	12	7	0	0	0	-0.3	-1.6	-5.3	9.9
2001	12	8	0	0	0	-1.3	-0.4	-4.9	17.3
2001	12	9	0	0	0	-2.4	-0.1	-3.3	16
2001	12	10	0	0	0	-2.6	-5.5	-11.2	16.2
2001	12	11	0	0	0	-3.8	-4.6	-8.7	17.2
2001	12	12	0	0	0	-4.5	-8.9	-9.2	17
2001	12	13	0	0	0	-1.8	-1.5	-5.7	18.3
2001	12	14	0	0	0	3.3	2.9	-1.8	8.3
